date,rendement_total_eur
2003-01-31,-0.001098
2003-02-28,0.002359
2003-03-31,0.001807
2003-04-30,4.9e-05
2003-05-31,0.001076
2003-06-30,0.00148
2003-07-31,0.001198
2003-08-31,0.001178
2003-09-30,0.002329
2003-10-31,0.003001
2003-11-30,0.004069
2003-12-31,0.000797
2004-01-31,-0.000472
2004-02-29,0.00241
2004-03-31,0.000359
2004-04-30,-0.000658
2004-05-31,0.004436
2004-06-30,0.002712
2004-07-31,0.000278
2004-08-31,0.000345
2004-09-30,0.001807
2004-10-31,0.00138
2004-11-30,0.001923
2004-12-31,0.000756
2005-01-31,-0.00273
2005-02-28,-0.002745
2005-03-31,0.002927
2005-04-30,0.001431
2005-05-31,-0.003416
2005-06-30,0.001635
2005-07-31,0.001582
2005-08-31,0.002433
2005-09-30,0.001008
2005-10-31,0.001635
2005-11-30,-0.000699
2005-12-31,-0.002269
2006-01-31,0.000488
2006-02-28,0.001216
2006-03-31,0.000258
2006-04-30,-0.002184
2006-05-31,-1.8e-05
2006-06-30,-0.000467
2006-07-31,0.002367
2006-08-31,-0.001469
2006-09-30,-0.001106
2006-10-31,-0.000336
2006-11-30,0.001232
2006-12-31,0.003193
2007-01-31,0.001829
2007-02-28,-0.001919
2007-03-31,-0.001098
2007-04-30,0.00405
2007-05-31,0.001318
2007-06-30,0.000494
2007-07-31,0.001782
2007-08-31,0.002187
2007-09-30,0.004333
2007-10-31,0.001306
2007-11-30,-0.000512
2007-12-31,-0.000995
2008-01-31,-0.022123
2008-02-29,-0.024063
2008-03-31,-0.023694
2008-04-30,-0.023077
2008-05-31,-0.026048
2008-06-30,-0.020779
2008-07-31,-0.024548
2008-08-31,-0.024434
2008-09-30,-0.024573
2008-10-31,-0.023745
2008-11-30,-0.024732
2008-12-31,-0.024714
2009-01-31,0.01473
2009-02-28,0.016091
2009-03-31,0.014924
2009-04-30,0.011111
2009-05-31,0.012719
2009-06-30,0.016272
2009-07-31,0.013468
2009-08-31,0.01373
2009-09-30,0.013043
2009-10-31,0.016519
2009-11-30,0.012583
2009-12-31,0.012566
2010-01-31,0.003032
2010-02-28,-0.002175
2010-03-31,6.5e-05
2010-04-30,0.006007
2010-05-31,0.000942
2010-06-30,0.00173
2010-07-31,-0.00299
2010-08-31,0.000693
2010-09-30,-0.001037
2010-10-31,-0.000474
2010-11-30,-0.00063
2010-12-31,0.001127
2011-01-31,0.000374
2011-02-28,0.002933
2011-03-31,-0.003577
2011-04-30,-0.000396
2011-05-31,0.002368
2011-06-30,0.001673
2011-07-31,0.003744
2011-08-31,-1.8e-05
2011-09-30,0.002928
2011-10-31,0.001972
2011-11-30,-0.001569
2011-12-31,-0.002583
2012-01-31,0.004723
2012-02-29,0.003178
2012-03-31,0.00121
2012-04-30,-0.000603
2012-05-31,-0.002655
2012-06-30,0.000221
2012-07-31,0.001134
2012-08-31,0.004106
2012-09-30,0.000276
2012-10-31,0.000713
2012-11-30,0.000719
2012-12-31,0.003043
2013-01-31,0.00407
2013-02-28,0.00469
2013-03-31,0.000999
2013-04-30,0.002452
2013-05-31,-0.001007
2013-06-30,-0.000404
2013-07-31,0.000253
2013-08-31,0.00261
2013-09-30,-0.00338
2013-10-31,0.001095
2013-11-30,0.004878
2013-12-31,0.003099
2014-01-31,0.003806
2014-02-28,-0.000152
2014-03-31,0.001638
2014-04-30,-0.000856
2014-05-31,0.004204
2014-06-30,0.000234
2014-07-31,0.000155
2014-08-31,-0.001013
2014-09-30,0.001562
2014-10-31,0.004015
2014-11-30,0.000982
2014-12-31,0.000799
2015-01-31,7e-05
2015-02-28,0.003296
2015-03-31,0.00125
2015-04-30,0.002023
2015-05-31,0.001135
2015-06-30,0.001329
2015-07-31,0.002448
2015-08-31,0.00237
2015-09-30,-0.001852
2015-10-31,0.000974
2015-11-30,0.000626
2015-12-31,0.001979
2016-01-31,0.003479
2016-02-29,-0.000359
2016-03-31,-0.000321
2016-04-30,-0.001757
2016-05-31,-0.000171
2016-06-30,0.003416
2016-07-31,-0.000219
2016-08-31,0.003642
2016-09-30,0.00115
2016-10-31,0.00067
2016-11-30,0.001283
2016-12-31,4.2e-05
2017-01-31,0.001787
2017-02-28,0.00108
2017-03-31,-0.00265
2017-04-30,-0.000509
2017-05-31,0.002045
2017-06-30,0.000471
2017-07-31,-0.003304
2017-08-31,0.003059
2017-09-30,0.003846
2017-10-31,-0.00143
2017-11-30,0.001017
2017-12-31,0.002603
2018-01-31,0.001927
2018-02-28,0.00226
2018-03-31,-0.001948
2018-04-30,0.003015
2018-05-31,0.000341
2018-06-30,-3.7e-05
2018-07-31,0.001948
2018-08-31,0.002973
2018-09-30,0.002747
2018-10-31,-0.000437
2018-11-30,0.001741
2018-12-31,-0.001964
2019-01-31,0.002687
2019-02-28,-0.000625
2019-03-31,-0.000593
2019-04-30,0.002535
2019-05-31,0.001519
2019-06-30,-0.000531
2019-07-31,0.002328
2019-08-31,0.004569
2019-09-30,-0.001843
2019-10-31,0.001353
2019-11-30,0.001267
2019-12-31,0.001517
2020-01-31,0.001331
2020-02-29,0.003093
2020-03-31,0.002563
2020-04-30,0.001329
2020-05-31,0.003008
2020-06-30,0.000249
2020-07-31,0.004601
2020-08-31,0.001103
2020-09-30,0.000607
2020-10-31,0.002167
2020-11-30,-0.000914
2020-12-31,-0.001253
2021-01-31,-0.000416
2021-02-28,0.003812
2021-03-31,0.002292
2021-04-30,-0.000284
2021-05-31,0.000791
2021-06-30,0.001004
2021-07-31,-0.000396
2021-08-31,9.6e-05
2021-09-30,-0.000939
2021-10-31,-0.001756
