date,rendement_total_eur
2003-01-31,0.016986
2003-02-28,0.005703
2003-03-31,0.008889
2003-04-30,0.010759
2003-05-31,-0.006388
2003-06-30,-0.01364
2003-07-31,-0.00924
2003-08-31,0.005405
2003-09-30,0.012566
2003-10-31,0.003278
2003-11-30,-0.011599
2003-12-31,0.016056
2004-01-31,-0.014054
2004-02-29,-0.002882
2004-03-31,-0.003699
2004-04-30,0.004506
2004-05-31,0.012971
2004-06-30,-0.012928
2004-07-31,-0.001189
2004-08-31,0.005155
2004-09-30,-0.00967
2004-10-31,0.001087
2004-11-30,0.003883
2004-12-31,-0.011354
2005-01-31,-0.011073
2005-02-28,0.001451
2005-03-31,-0.000266
2005-04-30,0.004212
2005-05-31,0.024114
2005-06-30,0.010951
2005-07-31,0.006451
2005-08-31,-0.005102
2005-09-30,0.011304
2005-10-31,-0.005821
2005-11-30,0.017695
2005-12-31,0.013867
2006-01-31,-0.018048
2006-02-28,-0.00975
2006-03-31,8.8e-05
2006-04-30,-0.002014
2006-05-31,-0.010608
2006-06-30,-0.010256
2006-07-31,0.009221
2006-08-31,-0.003322
2006-09-30,-0.013287
2006-10-31,-0.000806
2006-11-30,0.011695
2006-12-31,0.01883
2007-01-31,0.002618
2007-02-28,-0.001146
2007-03-31,-0.006044
2007-04-30,-0.003205
2007-05-31,0.00733
2007-06-30,0.014534
2007-07-31,0.014435
2007-08-31,-0.000439
2007-09-30,0.010849
2007-10-31,0.009635
2007-11-30,0.006537
2007-12-31,-0.022508
2008-01-31,-0.023631
2008-02-29,-0.025837
2008-03-31,-0.009727
2008-04-30,-0.025831
2008-05-31,-0.018489
2008-06-30,-0.020383
2008-07-31,-0.010332
2008-08-31,-0.015376
2008-09-30,-0.012713
2008-10-31,-0.008044
2008-11-30,-0.01341
2008-12-31,-0.015173
2009-01-31,0.011894
2009-02-28,0.015474
2009-03-31,0.036124
2009-04-30,0.014842
2009-05-31,0.019597
2009-06-30,0.013745
2009-07-31,0.011591
2009-08-31,-0.015448
2009-09-30,0.031616
2009-10-31,0.002681
2009-11-30,0.006183
2009-12-31,0.028046
2010-01-31,-0.021536
2010-02-28,0.002279
2010-03-31,-0.003605
2010-04-30,-0.016433
2010-05-31,0.008157
2010-06-30,-0.005714
2010-07-31,0.000965
2010-08-31,-0.002294
2010-09-30,0.008397
2010-10-31,0.024597
2010-11-30,-0.010554
2010-12-31,0.010571
2011-01-31,-0.004905
2011-02-28,-0.001553
2011-03-31,-0.016903
2011-04-30,-0.009393
2011-05-31,-0.002312
2011-06-30,0.010163
2011-07-31,0.004456
2011-08-31,0.007756
2011-09-30,0.009312
2011-10-31,-0.011839
2011-11-30,0.016525
2011-12-31,-0.001247
2012-01-31,0.008849
2012-02-29,0.000187
2012-03-31,0.004662
2012-04-30,0.008459
