date,rendement_total_eur
2003-01-31,0.028152
2003-02-28,-0.014582
2003-03-31,-0.045484
2003-04-30,-0.026427
2003-05-31,0.009857
2003-06-30,0.040799
2003-07-31,-0.057922
2003-08-31,-0.031538
2003-09-30,0.016108
2003-10-31,0.007277
2003-11-30,-0.018879
2003-12-31,0.055676
2004-01-31,0.013939
2004-02-29,-0.008489
2004-03-31,0.037152
2004-04-30,-0.012797
2004-05-31,0.073628
2004-06-30,-0.009034
2004-07-31,0.072756
2004-08-31,0.049765
2004-09-30,-0.012324
2004-10-31,0.007327
2004-11-30,-0.006516
2004-12-31,0.007528
2005-01-31,0.004734
2005-02-28,-0.032617
2005-03-31,0.021614
2005-04-30,0.018636
2005-05-31,-0.047044
2005-06-30,0.00285
2005-07-31,0.002765
2005-08-31,0.019073
2005-09-30,-0.00194
2005-10-31,0.013977
2005-11-30,-0.026148
2005-12-31,0.05723
2006-01-31,0.015282
2006-02-28,0.028254
2006-03-31,0.00794
2006-04-30,-0.015031
2006-05-31,0.022011
2006-06-30,0.019968
2006-07-31,-0.031405
2006-08-31,-0.025226
2006-09-30,0.00013
2006-10-31,-0.004822
2006-11-30,0.001851
2006-12-31,0.019546
2007-01-31,-0.021616
2007-02-28,-0.005557
2007-03-31,0.005299
2007-04-30,-0.0339
2007-05-31,-0.011
2007-06-30,-0.004098
2007-07-31,-0.005676
2007-08-31,0.002072
2007-09-30,0.052825
2007-10-31,0.040064
2007-11-30,0.005618
2007-12-31,0.006198
2008-01-31,-0.02409
2008-02-29,-0.038777
2008-03-31,-0.032319
2008-04-30,0.017242
2008-05-31,-0.013961
2008-06-30,-0.022392
2008-07-31,-0.024733
2008-08-31,-0.026465
2008-09-30,-0.015541
2008-10-31,-0.04827
2008-11-30,0.005682
2008-12-31,-0.004639
2009-01-31,0.008022
2009-02-28,0.004355
2009-03-31,-0.020829
2009-04-30,0.05301
2009-05-31,0.038059
2009-06-30,-0.026316
2009-07-31,-0.028596
2009-08-31,0.025999
2009-09-30,0.034998
2009-10-31,0.041253
2009-11-30,0.011473
2009-12-31,0.03228
2010-01-31,0.014559
2010-02-28,0.007519
2010-03-31,0.03388
2010-04-30,0.00058
2010-05-31,-0.013501
2010-06-30,0.044743
2010-07-31,-0.005063
2010-08-31,-0.058254
2010-09-30,0.013745
2010-10-31,-0.000401
2010-11-30,0.005499
2010-12-31,0.034785
2011-01-31,-0.008251
2011-02-28,0.040858
2011-03-31,0.008522
2011-04-30,0.069118
2011-05-31,-0.025011
2011-06-30,0.061014
2011-07-31,0.044394
2011-08-31,-0.014881
2011-09-30,0.00357
2011-10-31,0.015151
2011-11-30,0.072868
2011-12-31,0.002731
2012-01-31,-0.005637
2012-02-29,0.005685
2012-03-31,0.006836
2012-04-30,-0.019947
2012-05-31,-0.072323
2012-06-30,0.037434
2012-07-31,0.055657
2012-08-31,-0.023752
2012-09-30,0.043899
2012-10-31,0.024747
2012-11-30,-0.032641
2012-12-31,-0.024206
2013-01-31,0.070908
2013-02-28,0.01165
2013-03-31,0.005778
2013-04-30,0.006389
2013-05-31,-0.022001
2013-06-30,-0.035949
2013-07-31,0.002401
