date,rendement_total_eur
2003-01-31,-0.001927
2003-02-28,0.063311
2003-03-31,0.045589
2003-04-30,0.028377
2003-05-31,0.012693
2003-06-30,0.00927
2003-07-31,0.000718
2003-08-31,0.030459
2003-09-30,-0.024862
2003-10-31,0.082486
2003-11-30,0.074264
2003-12-31,0.0216
2004-01-31,0.064869
2004-02-29,0.072783
2004-03-31,0.003184
2004-04-30,-0.028309
2004-05-31,0.051936
2004-06-30,-0.05886
2004-07-31,0.051635
2004-08-31,0.029234
2004-09-30,-0.028679
2004-10-31,-0.10177
2004-11-30,0.023884
2004-12-31,0.03963
2005-01-31,0.026132
2005-02-28,-0.120629
2005-03-31,0.024037
2005-04-30,0.018053
2005-05-31,0.006324
2005-06-30,-0.037659
2005-07-31,-0.071433
2005-08-31,0.072745
2005-09-30,0.00406
2005-10-31,-0.06749
2005-11-30,0.06067
2005-12-31,-0.053966
2006-01-31,0.032532
2006-02-28,-0.060706
2006-03-31,-0.008644
2006-04-30,-0.003706
2006-05-31,0.09888
2006-06-30,-0.053262
2006-07-31,-0.035715
2006-08-31,0.062409
2006-09-30,0.064536
2006-10-31,0.012239
2006-11-30,-0.023789
2006-12-31,-0.023186
2007-01-31,-0.075606
2007-02-28,0.05461
2007-03-31,0.040216
2007-04-30,0.049225
2007-05-31,0.048177
2007-06-30,0.031437
2007-07-31,0.056927
2007-08-31,-0.040326
2007-09-30,0.103269
2007-10-31,0.023924
2007-11-30,-0.027028
2007-12-31,-0.04484
2008-01-31,-0.029124
2008-02-29,0.022072
2008-03-31,0.009559
2008-04-30,0.044645
2008-05-31,0.095519
2008-06-30,0.01802
2008-07-31,0.036867
2008-08-31,0.02308
2008-09-30,-0.061131
2008-10-31,-0.040773
2008-11-30,-0.02853
2008-12-31,0.03392
2009-01-31,-0.045308
2009-02-28,0.135693
2009-03-31,-0.018565
2009-04-30,-0.029265
2009-05-31,-0.011745
2009-06-30,-0.031392
2009-07-31,0.02487
2009-08-31,0.027116
2009-09-30,0.11323
2009-10-31,0.000454
2009-11-30,0.075282
2009-12-31,0.057133
2010-01-31,0.02917
2010-02-28,-0.097426
2010-03-31,0.030466
2010-04-30,0.016527
2010-05-31,-0.04695
2010-06-30,0.048576
2010-07-31,0.072951
2010-08-31,0.044303
2010-09-30,0.007599
2010-10-31,-0.048383
2010-11-30,0.034921
2010-12-31,-0.034323
2011-01-31,0.030555
2011-02-28,-0.036483
2011-03-31,-0.033762
2011-04-30,0.034044
2011-05-31,-0.019845
2011-06-30,-0.094288
2011-07-31,0.066009
2011-08-31,0.035276
2011-09-30,0.045285
2011-10-31,-0.059916
2011-11-30,0.010761
2011-12-31,0.053362
2012-01-31,0.032326
2012-02-29,-0.016855
2012-03-31,0.053786
2012-04-30,-0.008232
2012-05-31,-0.07183
2012-06-30,-0.00397
2012-07-31,-0.022004
2012-08-31,-0.054658
2012-09-30,0.054147
2012-10-31,-0.046873
2012-11-30,0.068785
2012-12-31,-0.030472
2013-01-31,-0.008552
2013-02-28,-0.00296
2013-03-31,0.036299
