date,rendement_total_eur
2003-01-31,0.001236
2003-02-28,8.4e-05
2003-03-31,0.002547
2003-04-30,0.035079
2003-05-31,0.001896
2003-06-30,-0.052894
2003-07-31,0.020293
2003-08-31,-0.003693
2003-09-30,-0.001678
2003-10-31,0.011635
2003-11-30,0.016292
2003-12-31,0.053542
2004-01-31,0.033265
2004-02-29,0.01142
2004-03-31,-0.022533
2004-04-30,-0.033586
2004-05-31,0.016854
2004-06-30,0.059443
2004-07-31,0.008666
2004-08-31,0.002747
2004-09-30,0.028271
2004-10-31,-0.051142
2004-11-30,-0.005491
2004-12-31,0.026615
2005-01-31,0.041936
2005-02-28,-0.002625
2005-03-31,0.022064
2005-04-30,0.016929
2005-05-31,0.038293
2005-06-30,-0.037529
2005-07-31,0.02973
2005-08-31,-0.053581
2005-09-30,-0.097798
2005-10-31,-0.017276
2005-11-30,-0.029632
2005-12-31,0.04204
2006-01-31,0.033571
2006-02-28,-0.041763
2006-03-31,0.040894
2006-04-30,-0.033088
2006-05-31,0.00355
2006-06-30,-0.004756
2006-07-31,0.011577
2006-08-31,0.039745
2006-09-30,0.032537
2006-10-31,0.020995
2006-11-30,0.032998
2006-12-31,0.02614
2007-01-31,-0.018079
2007-02-28,-0.021695
2007-03-31,-0.011799
2007-04-30,0.026973
2007-05-31,-0.003005
2007-06-30,0.10043
2007-07-31,-0.025772
2007-08-31,-0.036955
2007-09-30,0.037739
2007-10-31,0.063874
2007-11-30,0.027228
2007-12-31,0.040433
2008-01-31,0.039054
2008-02-29,-0.021761
2008-03-31,-0.074918
2008-04-30,-0.039283
2008-05-31,0.020116
2008-06-30,-0.075747
2008-07-31,-0.016659
2008-08-31,-0.007871
2008-09-30,-0.030624
2008-10-31,0.010945
2008-11-30,0.005231
2008-12-31,0.074856
2009-01-31,0.044299
2009-02-28,-0.004876
2009-03-31,-0.002972
2009-04-30,-0.013763
2009-05-31,0.057591
2009-06-30,-0.003173
2009-07-31,0.01669
2009-08-31,0.049472
2009-09-30,-0.009439
2009-10-31,0.007754
2009-11-30,-0.054151
2009-12-31,-0.023799
2010-01-31,-0.015709
2010-02-28,0.02363
2010-03-31,0.05474
2010-04-30,0.006261
2010-05-31,0.017455
2010-06-30,0.013719
2010-07-31,0.05039
2010-08-31,0.042734
2010-09-30,0.017948
2010-10-31,-0.033438
2010-11-30,0.043135
2010-12-31,0.022242
2011-01-31,0.056078
2011-02-28,0.005804
2011-03-31,0.085124
2011-04-30,-0.007355
2011-05-31,0.070722
2011-06-30,0.011605
2011-07-31,-0.013651
2011-08-31,-0.038138
2011-09-30,0.000959
2011-10-31,0.063933
2011-11-30,0.039655
2011-12-31,0.034555
2012-01-31,-0.088035
2012-02-29,0.035439
2012-03-31,0.029234
2012-04-30,-0.014997
2012-05-31,-0.018095
2012-06-30,0.006908
2012-07-31,0.075995
2012-08-31,-0.035204
2012-09-30,-0.010112
2012-10-31,0.061471
2012-11-30,-0.010846
2012-12-31,-0.00757
2013-01-31,0.010911
2013-02-28,-0.042652
2013-03-31,0.015798
2013-04-30,-0.041385
2013-05-31,0.042408
2013-06-30,0.007127
2013-07-31,0.098337
2013-08-31,0.018234
2013-09-30,0.061628
2013-10-31,-0.045131
2013-11-30,0.002114
2013-12-31,0.019926
2014-01-31,0.076829
2014-02-28,-0.060237
2014-03-31,0.046625
2014-04-30,0.030654
2014-05-31,0.068342
2014-06-30,0.035495
2014-07-31,0.009083
2014-08-31,-0.013866
2014-09-30,-0.042927
2014-10-31,0.014817
2014-11-30,-0.000668
2014-12-31,0.087811
2015-01-31,-0.017441
2015-02-28,0.019816
2015-03-31,-0.05576
2015-04-30,-0.008819
2015-05-31,0.017446
2015-06-30,0.039958
2015-07-31,0.064924
2015-08-31,0.005234
2015-09-30,-0.03769
2015-10-31,0.025314
2015-11-30,0.027679
2015-12-31,0.026666
2016-01-31,-0.021012
2016-02-29,0.052335
2016-03-31,0.010516
2016-04-30,0.034993
2016-05-31,0.057963
2016-06-30,0.031371
2016-07-31,0.018461
2016-08-31,0.093112
2016-09-30,0.016748
2016-10-31,-0.004839
2016-11-30,0.011479
2016-12-31,0.066311
2017-01-31,0.011748
2017-02-28,0.027775
2017-03-31,0.054829
2017-04-30,-0.013514
2017-05-31,-0.062063
2017-06-30,0.018977
2017-07-31,0.016189
2017-08-31,-0.01732
2017-09-30,0.041843
2017-10-31,0.031303
2017-11-30,-0.0328
2017-12-31,0.027729
2018-01-31,-0.000844
2018-02-28,-0.052321
2018-03-31,0.025118
2018-04-30,0.005191
2018-05-31,-0.022811
2018-06-30,0.027918
2018-07-31,0.026524
2018-08-31,-0.016101
2018-09-30,0.023014
2018-10-31,0.047603
2018-11-30,-0.021507
2018-12-31,0.022236
2019-01-31,0.00711
2019-02-28,0.09764
2019-03-31,-0.067492
2019-04-30,0.034811
2019-05-31,-0.00525
2019-06-30,0.002992
2019-07-31,0.083064
2019-08-31,0.006657
2019-09-30,0.096638
2019-10-31,-0.010686
2019-11-30,0.02102
2019-12-31,-0.012634
2020-01-31,-0.020628
2020-02-29,0.009499
2020-03-31,-0.004303
2020-04-30,0.0151
2020-05-31,-0.077201
2020-06-30,0.087099
2020-07-31,0.00032
2020-08-31,0.076716
2020-09-30,-0.033284
2020-10-31,0.018701
2020-11-30,0.133598
2020-12-31,-0.027789
2021-01-31,-0.052812
2021-02-28,-0.01486
2021-03-31,0.0259
2021-04-30,0.034734
2021-05-31,0.058615
2021-06-30,-0.00328
2021-07-31,-0.05709
2021-08-31,-0.010401
2021-09-30,0.056609
2021-10-31,0.025627
2021-11-30,-0.071278
2021-12-31,0.005598
2022-01-31,0.062927
2022-02-28,0.092062
2022-03-31,0.029467
2022-04-30,0.019372
2022-05-31,-0.042608
2022-06-30,-0.02673
2022-07-31,0.008877
2022-08-31,0.027128
2022-09-30,0.030207
2022-10-31,-0.012128
2022-11-30,-0.039078
2022-12-31,-0.024111
2023-01-31,-0.039279
2023-02-28,0.032736
2023-03-31,-0.085491
2023-04-30,-0.006331
2023-05-31,0.024995
2023-06-30,0.067881
2023-07-31,0.009852
2023-08-31,0.047051
2023-09-30,-0.00896
2023-10-31,-0.022776
2023-11-30,-0.019976
2023-12-31,0.068093
2024-01-31,0.046769
2024-02-29,0.026496
2024-03-31,0.140211
2024-04-30,0.005706
2024-05-31,0.031814
2024-06-30,0.019304
2024-07-31,-0.001875
2024-08-31,0.099647
2024-09-30,0.067264
2024-10-31,-0.048979
2024-11-30,-0.008994
2024-12-31,0.024133
